"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2022","55.10","54.10","55.10","53.90","3.25M","2.04%"
"12/13/2022","54.00","55.00","55.50","53.40","4.95M","-1.82%"
"12/12/2022","55.00","55.00","55.55","54.10","2.20M","0.00%"
"12/09/2022","55.00","55.00","55.50","55.00","1.19M","0.00%"
"12/07/2022","55.00","55.60","55.85","54.90","1.96M","-1.08%"
"12/06/2022","55.60","53.80","55.95","53.70","1.94M","3.35%"
"12/05/2022","53.80","54.10","55.35","53.80","2.00M","-0.37%"
"12/02/2022","54.00","56.65","56.65","54.00","3.04M","-4.76%"
"12/01/2022","56.70","57.20","57.30","56.05","1.95M","-1.05%"
"11/29/2022","57.30","56.70","57.30","55.55","7.83M","0.09%"
"11/28/2022","57.25","55.95","57.25","55.20","4.41M","1.96%"
"11/25/2022","56.15","54.30","56.25","54.15","6.88M","3.60%"
"11/24/2022","54.20","53.75","54.45","53.35","4.57M","0.84%"
"11/23/2022","53.75","53.00","53.75","52.80","2.93M","1.42%"
"11/22/2022","53.00","51.80","53.00","51.75","3.43M","2.51%"
"11/21/2022","51.70","51.90","51.90","51.00","1.46M","0.10%"
"11/18/2022","51.65","50.55","52.05","50.55","2.95M","2.89%"
"11/17/2022","50.20","51.00","51.45","50.20","2.05M","-1.57%"
"11/16/2022","51.00","52.00","52.15","50.90","3.86M","-1.92%"
"11/15/2022","52.00","51.05","52.20","50.90","1.18M","1.56%"
"11/14/2022","51.20","52.10","52.20","51.20","2.61M","-1.54%"
"11/11/2022","52.00","53.00","53.00","51.90","2.02M","0.19%"
"11/10/2022","51.90","52.05","52.05","51.60","499.92K","-0.67%"
"11/09/2022","52.25","52.25","52.35","51.50","899.08K","0.48%"
"11/08/2022","52.00","52.20","53.50","51.50","2.12M","-0.38%"
"11/07/2022","52.20","52.00","52.20","51.65","1.20M","0.10%"
"11/04/2022","52.15","52.00","52.15","51.10","927.06K","0.00%"
"11/03/2022","52.15","51.95","52.15","51.05","726.27K","0.00%"
"11/02/2022","52.15","51.60","52.15","51.40","1.80M","0.87%"
"10/28/2022","51.70","51.95","51.95","51.15","785.54K","-0.48%"
"10/27/2022","51.95","51.20","51.95","51.20","1.79M","1.46%"
"10/26/2022","51.20","52.05","52.15","51.20","1.13M","-1.54%"
"10/25/2022","52.00","51.30","52.00","51.20","1.72M","1.36%"
"10/24/2022","51.30","51.10","52.20","51.00","1.29M","0.39%"
"10/21/2022","51.10","51.40","51.40","50.20","1.22M","-0.39%"
"10/20/2022","51.30","51.00","51.85","50.30","3.66M","0.59%"
"10/19/2022","51.00","51.90","51.90","50.15","1.48M","-1.73%"
"10/18/2022","51.90","49.75","51.90","49.50","1.68M","4.85%"
"10/17/2022","49.50","49.75","50.55","48.75","660.37K","-1.10%"
"10/14/2022","50.05","49.70","50.90","49.50","1.40M","1.83%"
"10/13/2022","49.15","48.65","49.35","48.50","1.27M","0.92%"
"10/12/2022","48.70","48.70","49.20","48.50","712.40K","0.41%"
"10/11/2022","48.50","48.80","49.20","48.50","465.00K","0.00%"
"10/10/2022","48.50","49.85","49.85","48.50","730.78K","-3.19%"
"10/07/2022","50.10","51.00","51.00","50.10","187.58K","-1.76%"
"10/06/2022","51.00","51.00","51.60","50.50","2.19M","0.10%"
"10/05/2022","50.95","51.10","51.70","50.25","2.49M","1.09%"
"10/04/2022","50.40","49.00","50.80","48.90","1.14M","4.13%"
"10/03/2022","48.40","47.80","48.45","47.55","431.10K","-0.21%"
"09/30/2022","48.50","48.45","49.00","47.80","1.76M","-0.61%"
"09/29/2022","48.80","48.80","49.45","48.65","2.06M","0.62%"
"09/28/2022","48.50","48.60","49.50","48.25","1.08M","-0.10%"
"09/27/2022","48.55","51.00","51.35","48.55","3.22M","-6.36%"
"09/23/2022","51.85","52.00","52.10","51.60","4.90M","-0.29%"
"09/22/2022","52.00","51.05","52.00","50.20","1.21M","1.86%"
"09/21/2022","51.05","52.50","52.50","51.05","1.18M","-3.50%"
"09/20/2022","52.90","52.90","53.25","52.50","1.00M","0.00%"
"09/19/2022","52.90","53.50","53.50","51.45","2.69M","-1.31%"
"09/16/2022","53.60","52.60","53.60","52.45","2.51M","2.00%"
"09/15/2022","52.55","52.40","53.40","52.40","1.46M","0.38%"
"09/14/2022","52.35","52.50","53.10","52.00","2.91M","-3.06%"
"09/13/2022","54.00","54.00","54.00","53.50","1.79M","0.00%"
"09/12/2022","54.00","53.00","54.95","52.90","3.67M","1.89%"
"09/09/2022","53.00","52.00","53.25","52.00","1.23M","1.15%"
"09/08/2022","52.40","52.50","52.50","51.80","983.56K","1.45%"
"09/07/2022","51.65","53.35","53.40","51.65","1.31M","-3.46%"
"09/06/2022","53.50","52.30","53.85","52.15","3.48M","1.13%"
"09/05/2022","52.90","52.40","53.15","52.35","1.45M","0.95%"
"09/02/2022","52.40","51.80","52.75","51.80","1.36M","1.75%"
"09/01/2022","51.50","53.05","53.65","51.50","1.40M","-2.09%"
"08/31/2022","52.60","53.45","53.45","52.60","3.99M","-1.59%"
"08/30/2022","53.45","52.10","53.45","52.00","1.10M","0.00%"
"08/26/2022","53.45","52.80","53.80","52.80","942.84K","1.42%"
"08/25/2022","52.70","52.50","53.30","52.50","779.80K","1.35%"
"08/24/2022","52.00","51.80","52.90","51.45","813.00K","0.00%"
"08/23/2022","52.00","51.80","52.00","51.10","1.76M","-0.19%"
"08/22/2022","52.10","53.40","53.40","51.80","1.24M","-2.62%"
"08/19/2022","53.50","53.00","53.70","52.80","1.39M","0.94%"
"08/18/2022","53.00","51.80","53.85","51.60","1.91M","1.15%"
"08/17/2022","52.40","53.50","53.50","52.30","1.68M","-2.06%"
"08/16/2022","53.50","51.50","53.90","51.50","3.11M","3.88%"
"08/15/2022","51.50","51.90","52.45","51.25","1.49M","-0.77%"
"08/12/2022","51.90","50.90","54.50","50.80","5.27M","1.96%"
"08/11/2022","50.90","50.25","52.00","50.00","5.07M","1.80%"
"08/10/2022","50.00","49.00","50.20","49.00","2.35M","1.42%"
"08/09/2022","49.30","48.90","49.40","48.45","1.60M","0.82%"
"08/08/2022","48.90","47.80","48.90","47.80","742.10K","2.52%"
"08/05/2022","47.70","49.15","49.60","47.70","2.05M","-2.65%"
"08/04/2022","49.00","49.35","49.50","48.65","983.30K","0.00%"
"08/03/2022","49.00","48.90","49.45","48.10","1.55M","0.20%"
"08/02/2022","48.90","48.00","49.00","47.50","3.19M","2.30%"
"08/01/2022","47.80","48.60","48.60","47.15","1.67M","-1.65%"
"07/29/2022","48.60","48.90","48.90","47.60","1.94M","-0.61%"
"07/28/2022","48.90","47.00","48.90","47.00","2.39M","3.49%"
"07/27/2022","47.25","47.20","47.25","46.55","907.70K","0.21%"
"07/26/2022","47.15","46.55","47.20","46.50","1.10M","1.40%"
"07/25/2022","46.50","46.90","47.00","46.30","799.10K","-0.43%"
"07/22/2022","46.70","46.65","47.15","46.50","1.41M","0.65%"
"07/21/2022","46.40","46.00","47.35","46.00","2.78M","1.64%"
"07/20/2022","45.65","45.80","46.75","45.60","2.98M","-0.11%"
